likes,body,url
1997,"Четвёртое измерение представить себе невозможно. Лично я с трудом представляю себе даже трёхмерное пространство!

— Стивен Хокинг",https://sun1-23.userapi.com/c857520/v857520908/14e46f/Nu9TFwA_P-Y.jpg
505,три месяца не мыл ложку,https://sun1-22.userapi.com/c205124/v205124747/3a968/NrdpTXgesDo.jpg
1001,ну дела,https://sun1-47.userapi.com/c857320/v857320267/b1f0c/atRfBxr9J6g.jpg
479,фффристайло остается навсегда,https://sun1-22.userapi.com/c854424/v854424116/1d268d/HDuiaskJ8WA.jpg
818,мой папа,https://sun1-23.userapi.com/c858024/v858024472/153cd6/YbF5favkjBA.jpg
493,,https://sun1-17.userapi.com/c858124/v858124447/1556f6/Jh6Gg7nGS2I.jpg
684,🤔,https://sun1-23.userapi.com/c204724/v204724489/38d1c/phd4uIx-kdQ.jpg
727,,https://sun1-30.userapi.com/c854428/v854428672/1d02d5/YhdMrN-uLSw.jpg
338,,https://sun1-86.userapi.com/c855720/v855720823/1cecdb/FCVbMaAT2T4.jpg
605,,https://sun1-98.userapi.com/c857732/v857732140/1457ed/OEnsJCkb-Gs.jpg
849,,https://sun9-42.userapi.com/c855436/v855436743/1cb8f6/4slzNoajGAg.jpg
748,,https://sun1-86.userapi.com/c857228/v857228896/ae4a6/QctgmlecywU.jpg
922,,https://sun1-14.userapi.com/c854016/v854016646/1cfb1b/EjxRLWMmtJo.jpg
660,тайная комната,https://sun1-99.userapi.com/c857228/v857228896/ae494/fiTbAW0iuMM.jpg
880,"Уличным художникам из Петербурга уже 3 раза пришлось подписывать памятник, после вандализма коммунальных служб",https://sun1-16.userapi.com/c854120/v854120015/1c2f59/f2at2J4_oJs.jpg
741,,https://sun1-27.userapi.com/c857228/v857228896/ae48d/zju2OcRL_4g.jpg
680,"Довыпендривался, супермен",https://sun9-6.userapi.com/c205516/v205516976/384d8/j7PGuERu5gU.jpg
517,,https://sun1-98.userapi.com/c856120/v856120873/1c7003/ZsqycADcwS4.jpg
285,,https://sun1-27.userapi.com/c635104/v635104856/4eda1/5uzMoxskWdw.jpg
556,квадрат собакевича,https://sun1-98.userapi.com/c857228/v857228195/b059e/mdlmLpthGsg.jpg
659,,https://sun1-86.userapi.com/c855132/v855132889/1cd0d4/l8rooG0AIDs.jpg
736,,https://sun1-21.userapi.com/c857228/v857228896/ae485/EAH7OAGJ4UA.jpg
871,,https://sun1-99.userapi.com/c205816/v205816743/2db97/oIZJYrjZrKY.jpg
1436,как вежливо отказаться,https://sun1-18.userapi.com/c854324/v854324250/1ce2f3/qtDHlQ1BR_E.jpg
1595,Анархия,https://sun1-90.userapi.com/c205128/v205128941/3b021/la5eFSt2n7o.jpg
677,"как тебе такое, Илон Маск?",https://sun1-84.userapi.com/c858524/v858524896/ace98/NUt-BS2N2dU.jpg
1112,,https://sun1-17.userapi.com/c854524/v854524210/1bf55f/C9e6CewDw7Y.jpg
640,как называется это животное?,https://sun1-87.userapi.com/c854128/v854128016/1ca8ae/EvPj1yWaY-g.jpg
1041,Как сказать если твоя кошка задумала убить тебя,https://sun1-29.userapi.com/c206816/v206816410/39ba6/_APOSgmFMWc.jpg
1636,,https://sun1-24.userapi.com/c204616/v204616221/3ac64/Vpq9rCl9kRc.jpg
685,Пупок - это ваш бывший рот. Спокойной ночи,https://sun1-24.userapi.com/c204616/v204616221/3ac64/Vpq9rCl9kRc.jpg
571,,https://sun1-25.userapi.com/c200328/v200328567/38028/DfUrdzyP0mo.jpg
547,,https://sun1-84.userapi.com/c857432/v857432657/13edec/TSIlRPi-jXA.jpg
360,какой ключ к сердцу женщины?,https://sun9-46.userapi.com/c856032/v856032579/1c8299/XNaIt_C-szA.jpg
1121,детеныш панельки,https://sun1-90.userapi.com/c854320/v854320982/1c4bb7/StrJ7PpYmdo.jpg
705,"приходите в мой дом, мои двери открыты",https://sun1-27.userapi.com/c855228/v855228815/1ccff6/paS45AgRD2U.jpg
580,,https://sun9-22.userapi.com/c204724/v204724102/38c63/WLUoTGa27G4.jpg
1809,"ставь трамвай, если согласен",https://sun9-65.userapi.com/c205724/v205724737/3831a/AJOkCNBNGcs.jpg
1265,самка велкопоповецкого козела защищает своих детёнышей,https://sun1-14.userapi.com/c204628/v204628767/3663e/Yih-gctJxGA.jpg
1139,,https://sun9-30.userapi.com/c205616/v205616544/38375/YORhJ4Ms9kI.jpg
876,все встало на свои места,https://sun1-29.userapi.com/c858036/v858036431/14cb46/IRuExopy9xY.jpg
1282,,https://sun1-30.userapi.com/c205228/v205228931/36045/s_aEE0u_gl0.jpg
933,хто я?,https://sun9-52.userapi.com/c858220/v858220568/14b1f4/9WFXJG9oqXo.jpg
1121,изгиб котяры чёрной ты обнимаешь нежно,https://sun1-30.userapi.com/c205620/v205620725/38376/HGyE-XTyn84.jpg
1285,,https://sun1-17.userapi.com/c204628/v204628501/38380/KO7dxVbQIlI.jpg
2123,не поспоришь,https://sun1-29.userapi.com/c853620/v853620007/1ca8e9/KR5vdHUp3aA.jpg
5076,способ как быстро заработать денег,https://sun1-84.userapi.com/c204520/v204520359/37d68/2ApYnk3_OT8.jpg
791,,https://sun9-45.userapi.com/c858128/v858128173/14b2da/bCdmQzJbrvM.jpg
540,,https://sun9-40.userapi.com/c635104/v635104770/5c2d7/IA9vHEjfnhk.jpg
3028,,https://sun1-84.userapi.com/c857136/v857136443/ab768/9xlS3PdDTSs.jpg
1002,,https://sun1-21.userapi.com/c856136/v856136043/1acbfa/gRMJnig4_Wo.jpg
1126,"спокойной ночи, малыши",https://sun1-91.userapi.com/c858524/v858524322/ac001/hcv6hw8Z6Mw.jpg
835,,https://sun9-56.userapi.com/c856136/v856136043/1acbf2/LHun3MoAh9U.jpg
1053,,https://sun1-30.userapi.com/c855416/v855416102/1c8e19/ZZ_0yaHI0h8.jpg
945,,https://sun9-48.userapi.com/c856136/v856136043/1acbeb/jE-dRnRYCaI.jpg
475,,https://sun9-45.userapi.com/c635104/v635104934/51bc9/Ab6sXEjhqec.jpg
642,,https://sun1-89.userapi.com/c856136/v856136043/1acbe3/IMePtl3Bbos.jpg
967,,https://sun9-22.userapi.com/c200716/v200716573/362e7/qfdrwAac_xE.jpg
843,,https://sun9-41.userapi.com/c856136/v856136043/1acbdc/uqNostIbQsE.jpg
341,,https://sun9-32.userapi.com/c205716/v205716273/36c84/Nba-Fc9lJtI.jpg
884,,https://sun9-31.userapi.com/c856136/v856136043/1acbca/26crNVLZ70E.jpg
1386,,https://sun9-72.userapi.com/c857016/v857016799/a75ed/zoc8SgQtIzA.jpg
797,,https://sun9-29.userapi.com/c856136/v856136043/1acbb8/73Mci_c8Ccc.jpg
3182,бекон растворился в пространственно-временном континууме,https://sun1-18.userapi.com/c856124/v856124567/1c8098/3dh8KNzjk2w.jpg
553,,https://sun1-28.userapi.com/c855216/v855216656/1ca09b/awbSvT4L7lY.jpg
610,,https://sun9-32.userapi.com/c857424/v857424181/14c0bd/sP9fGCYCs6A.jpg
2911,морские звезды и их попки,https://sun1-22.userapi.com/c206724/v206724224/36cbd/BtRbmFwiXIU.jpg
687,фокус,https://sun1-22.userapi.com/c206724/v206724224/36cbd/BtRbmFwiXIU.jpg
1021,,https://sun9-51.userapi.com/c855136/v855136168/1c3777/Na3a87WjMrU.jpg
583,обычный офис в Москве,https://sun9-127.userapi.com/c200828/v200828492/3679e/7QaO_p7Ye_8.jpg
594,,https://sun1-97.userapi.com/c858424/v858424329/13e3da/w6qUu8jGRRs.jpg
917,,https://sun9-8.userapi.com/c857528/v857528821/149648/-eoDVWuafNE.jpg
653,,https://sun9-23.userapi.com/c204728/v204728392/35e1b/hxt6wHS9DxI.jpg
1281,Российская полиция задерживает австралийского туриста,https://sun9-53.userapi.com/c855432/v855432790/1c317f/VfTvOW1k8LM.jpg
982,У вас тоже есть здесь родинка?,https://sun1-26.userapi.com/c857228/v857228083/a838e/nWR8AxRLEp0.jpg
618,,https://sun9-14.userapi.com/c200820/v200820682/32ca5/_QXa1pJdniQ.jpg
482,Паукшто,https://sun9-72.userapi.com/c855424/v855424195/1cbe85/2R0AIjAzQNU.jpg
710,"Захожу я значит в аудиторию, а там такое",https://sun9-9.userapi.com/c856124/v856124390/1cacf6/m_ToObNBSpM.jpg
1031,,https://sun9-15.userapi.com/c858432/v858432370/147e54/PgSk6HHpIsg.jpg
719,вы сидите в телеге?,https://sun9-42.userapi.com/c855720/v855720779/1c6d42/wIKzhHuvS_0.jpg
1980,,https://sun9-37.userapi.com/c206524/v206524735/342ee/wpKH38Gd_ac.jpg
467,рекурсивный трактор,https://sun9-127.userapi.com/c206728/v206728047/3467f/VsjmvC-iZ8Y.jpg
1199,,https://sun9-13.userapi.com/c858136/v858136663/140c35/UHYf1hWQP0c.jpg
1418,Этот человек пытался разблокировать ваш телефон,https://sun1-95.userapi.com/c855528/v855528146/1c6ea1/MLIhGizBzvA.jpg
342,,https://sun9-28.userapi.com/c206628/v206628489/34135/dDx_Q_-DUGA.jpg
1282,,https://sun9-48.userapi.com/c854416/v854416375/1c8c02/7o1zt4GCOqE.jpg
631,,https://sun9-13.userapi.com/c855220/v855220727/1c7d47/0mdkZRiyoDE.jpg
2331,что-то тут не так,https://sun9-23.userapi.com/c856124/v856124105/1c2b01/jpzw6WjGubg.jpg
1250,,https://sun9-35.userapi.com/c204528/v204528223/34856/h1Gzl_L2Q_A.jpg
1320,,https://sun9-33.userapi.com/c854224/v854224084/1ca1a0/l6lyzPHJAhc.jpg
2848,,https://sun9-2.userapi.com/c854328/v854328818/1bddc9/8FldjFlo_3M.jpg
412,,https://sun1-14.userapi.com/c855332/v855332715/1c84ae/ZqcLXwwmN10.jpg
1058,,https://sun9-47.userapi.com/c855120/v855120420/1ca4df/KPot2rBFIZM.jpg
805,,https://sun9-57.userapi.com/c855536/v855536396/1bf2bb/Q6TiKLE1-_4.jpg
492,Поезда - это горизонтальные лифты,https://sun9-57.userapi.com/c855536/v855536396/1bf2bb/Q6TiKLE1-_4.jpg
1251,на экзамен,https://sun9-31.userapi.com/c857416/v857416689/14b8a6/Tf7hWhP39KE.jpg
770,,https://sun9-14.userapi.com/c858032/v858032895/14eb8f/BkMisePPKC8.jpg
2186,ептербург,https://sun9-127.userapi.com/c857416/v857416689/14b89c/HVPkAsbmT9E.jpg
641,,https://sun9-59.userapi.com/c858032/v858032895/14eb86/XTNvjNjT05Q.jpg
1374,,https://sun9-56.userapi.com/c857416/v857416689/14b893/5AIBSjzOtUY.jpg
692,,https://sun9-20.userapi.com/c858032/v858032895/14eb7d/8I0X5_jn_Yk.jpg
1665,что шестое?,https://sun9-49.userapi.com/c857416/v857416689/14b889/4dwoRHGDYC4.jpg
930,,https://sun9-67.userapi.com/c858032/v858032895/14eb6a/mn64cqiD2Aw.jpg
615,,https://sun9-32.userapi.com/c858236/v858236423/14b0a4/RXsGzPAOspo.jpg
701,,https://sun9-34.userapi.com/c858032/v858032528/14ccde/He7dMgXMSZQ.jpg
429,,https://sun9-26.userapi.com/c857024/v857024890/4139f/c_CTWRMZyGo.jpg
1381,,https://sun9-37.userapi.com/c854016/v854016528/1c648f/coxLSR-Hj9U.jpg
1639,,https://sun9-41.userapi.com/c200820/v200820676/32905/o6PFpzxSBt0.jpg
599,,https://sun9-51.userapi.com/c858220/v858220067/142fc6/PRHg_vV6xoU.jpg
980,просто пол,https://sun9-33.userapi.com/c858524/v858524602/a9b64/YI5HJBiDK2Q.jpg
798,,https://sun9-70.userapi.com/c206620/v206620753/326cd/3NQsxg_qkss.jpg
635,,https://sun9-12.userapi.com/c854324/v854324283/1c94a9/VbA0Qe-imRU.jpg
1227,,https://sun9-7.userapi.com/c858532/v858532587/aa6b2/T89GGpqN_9U.jpg
1271,,https://sun9-34.userapi.com/c854324/v854324689/1c6e58/GSfQvj6zCr0.jpg
2420,,https://sun9-64.userapi.com/c857732/v857732708/13df9b/3PeLqd9OV7Q.jpg
1963,"Мальчики мечтают о космосе, дорогих машинах и взятии Иерусалима.",https://sun9-58.userapi.com/c205516/v205516900/31ebd/LOhaEpZaLYM.jpg
2758,,https://sun9-30.userapi.com/c206724/v206724001/30ed1/dDEqUk4O8II.jpg
2001,,https://sun9-127.userapi.com/c857736/v857736819/148e4f/_3Dkk6FiPQ0.jpg
676,почему опоздали?,https://sun9-22.userapi.com/c856128/v856128228/1c28dc/osTpuOoZvEQ.jpg
904,когда покупаешь друзьям шаверму,https://sun9-29.userapi.com/c855532/v855532438/1c4109/SX7M0436NuQ.jpg
967,когда съел большой гриб,https://sun9-36.userapi.com/c205520/v205520675/31d0c/zFOg1PoaGiY.jpg
625,Крокодил ходит лежа,https://sun9-36.userapi.com/c205520/v205520675/31d0c/zFOg1PoaGiY.jpg
983,,https://sun9-60.userapi.com/c855536/v855536228/1bb1cf/J2msUJjXY94.jpg
920,,https://sun9-40.userapi.com/c855536/v855536228/1bb223/_pRl3yCo8B8.jpg
833,,https://sun1-89.userapi.com/c855536/v855536228/1bb1c6/vNgy8OBIg5s.jpg
769,,https://sun9-17.userapi.com/c855536/v855536228/1bb211/Td9H6EBeBMo.jpg
1037,666,https://sun9-34.userapi.com/c855536/v855536228/1bb1b5/dVFb_P0VVD0.jpg
1618,,https://sun9-18.userapi.com/c855536/v855536228/1bb208/zVIVQTt-sWE.jpg
844,,https://sun9-71.userapi.com/c855536/v855536228/1bb1ae/fxBy84ph3Zg.jpg
666,,https://sun9-1.userapi.com/c855536/v855536228/1bb200/Ti5hVJRHySI.jpg
1152,,https://sun9-14.userapi.com/c855536/v855536228/1bb1a7/1yGyRPVFg2o.jpg
995,,https://sun9-17.userapi.com/c855536/v855536228/1bb1f8/19XVkyIugI4.jpg
816,,https://sun9-13.userapi.com/c855136/v855136246/1b7f53/v9d5UxwLtHo.jpg
2388,,https://sun9-53.userapi.com/c855328/v855328632/1cba0e/lb2H8ovW4ms.jpg
894,,https://sun9-18.userapi.com/c855536/v855536228/1bb1ef/NZcHawtiO8I.jpg
1946,,https://sun9-69.userapi.com/c856524/v856524165/a6345/h4tSmIpO1Ks.jpg
677,,https://sun9-36.userapi.com/c855536/v855536228/1bb1e8/CH8XNvEQKc4.jpg
5818,Человек избегает геи-лестницу,https://sun9-66.userapi.com/c855528/v855528625/1bc141/_2-k34PoRXU.jpg
473,,https://sun9-1.userapi.com/c855536/v855536228/1bb1df/P8ShNMYXuak.jpg
946,,https://sun9-69.userapi.com/c854420/v854420511/1c4cf6/nSKbvtnD4i0.jpg
2147,,https://sun9-6.userapi.com/c855536/v855536228/1bb1d6/oI8NIf8-Lsk.jpg
1793,"Кондиционер включен, у него есть вода и он слушает любимую музыку",https://sun9-43.userapi.com/c853524/v853524016/1c1bc7/XyDFyN1gmhA.jpg
1969,,https://sun9-62.userapi.com/c856120/v856120085/1b2d57/M3xherJx1r8.jpg
1461,эволюция военной униформы,https://sun9-70.userapi.com/c205524/v205524636/2fb6d/p3ZJrQjsUu8.jpg
1516,,https://sun9-15.userapi.com/c857036/v857036513/3b003/pI52KvXL2F0.jpg
1792,,https://sun9-69.userapi.com/c856524/v856524714/a872e/v9mUTA1I3T8.jpg
647,,https://sun9-3.userapi.com/c205816/v205816822/243f4/W8XY8svhOlQ.jpg
557,,https://sun1-83.userapi.com/c858416/v858416306/13e49c/6gAmjnjAsWE.jpg
672,забыл как работать,https://sun9-55.userapi.com/c858236/v858236399/142696/IAuRoRhj1K4.jpg
2183,,https://sun9-21.userapi.com/c204528/v204528458/2e2cb/lT-zN7puVxU.jpg
688,,https://sun9-9.userapi.com/c206820/v206820951/2f8a8/IzRno2O_EYQ.jpg
771,,https://sun9-17.userapi.com/c206724/v206724399/2f0c9/CffePBvVAnE.jpg
1363,можно и запутаться,https://sun9-6.userapi.com/c200320/v200320149/3016d/t2VZdYZUhPc.jpg
1268,вот из-за кого беды,https://sun9-24.userapi.com/c200524/v200524509/2f975/6M8BHxCihUk.jpg
2140,,https://sun9-46.userapi.com/c857720/v857720447/145722/RklKlWbwzFU.jpg
652,,https://sun9-42.userapi.com/c857036/v857036587/3c6e9/jhi-wZQUo6M.jpg
1056,любовь,https://sun9-7.userapi.com/c854020/v854020110/1c0367/JIsxvkydF3Q.jpg
487,,https://sun9-8.userapi.com/c855436/v855436317/1bab76/nmArZlS0QXs.jpg
1646,,https://sun9-34.userapi.com/c855636/v855636573/1bf6df/UIikZrLwMEQ.jpg
802,,https://sun9-33.userapi.com/c858336/v858336229/140354/imvnRgeQj10.jpg
1112,,https://sun9-7.userapi.com/c856128/v856128628/1ca5a3/HidTo5wTGSA.jpg
2047,,https://sun1-23.userapi.com/c857636/v857636362/139eb8/5XMff-IXlc4.jpg
1830,,https://sun9-66.userapi.com/c855524/v855524654/1c1127/eWStJzcwGN8.jpg
1223,,https://sun9-40.userapi.com/c857636/v857636362/139eae/-7wawmx69hA.jpg
839,,https://sun9-10.userapi.com/c204816/v204816396/2e75f/RhtuLnyr2ig.jpg
929,,https://sun9-23.userapi.com/c857636/v857636362/139ea5/1ilaSpMIWQQ.jpg
415,,https://sun9-68.userapi.com/c856524/v856524497/a2cbf/10ZTfQY6vlw.jpg
904,,https://sun9-55.userapi.com/c857636/v857636362/139e9c/LMdRfF8pFPU.jpg
1161,,https://sun9-36.userapi.com/c855020/v855020619/1bd690/GR8RFgRWzpk.jpg
733,,https://sun9-66.userapi.com/c857636/v857636362/139e93/wfnixAkt4UU.jpg
874,,https://sun1-95.userapi.com/c204828/v204828758/2e252/CXm8Y7LNuio.jpg
710,,https://sun9-62.userapi.com/c857636/v857636362/139e8a/rmjPHta0fW4.jpg
2603,,https://sun9-50.userapi.com/c855724/v855724360/1c04d3/R5NvvvfWWsg.jpg
1436,,https://sun9-66.userapi.com/c857636/v857636362/139e80/lL2TY8BoO70.jpg
1136,,https://sun9-36.userapi.com/c200428/v200428992/2de96/PUGW2r7r3Ag.jpg
475,,https://sun9-39.userapi.com/c858520/v858520861/a5dc8/iWFS3ha_mKs.jpg
1956,,https://sun9-33.userapi.com/c850608/v850608437/78d91/clbd0TijQvY.jpg
425,,https://sun9-22.userapi.com/c204524/v204524385/2d791/TrIY6nN9VdI.jpg
1001,,https://sun9-18.userapi.com/c204824/v204824829/2ea8d/PsNeijRxcik.jpg
2131,,https://sun9-17.userapi.com/c857332/v857332453/2b612/oakw9DkaGgo.jpg
733,,https://sun9-25.userapi.com/c200624/v200624132/2c588/OVFhmgaR9wo.jpg
1088,,https://sun9-18.userapi.com/c204828/v204828110/2bd46/mSmwOwDhNik.jpg
1437,,https://sun9-64.userapi.com/c205428/v205428656/2ba63/5HA71tWTUj8.jpg
810,,https://sun9-70.userapi.com/c854524/v854524332/1b2601/4ljY-SrQTqQ.jpg
1003,,https://sun9-60.userapi.com/c858224/v858224328/14444d/5NSx_MrWmiQ.jpg
1073,,https://sun9-25.userapi.com/c854424/v854424632/1c4546/Lq4w-NlWoik.jpg
841,,https://sun9-41.userapi.com/c206720/v206720671/2c1b0/R64nzlIQa_8.jpg
716,,https://sun9-22.userapi.com/c855028/v855028524/1bddf5/vfRSsmG2qSo.jpg
77,"Зачем бесконечно перелистывать страницы AliExpress в поисках крутых гаджетов, когда есть МЫ - [club87389803|Смотри, что я нашел на AliExpress] 🔥🔥🔥",https://sun9-22.userapi.com/c855028/v855028524/1bddf5/vfRSsmG2qSo.jpg
568,,https://sun9-14.userapi.com/c855520/v855520171/1bd48e/vvpC6uwQTBc.jpg
830,,https://sun9-13.userapi.com/c857416/v857416123/147693/jHYlq4XB0JY.jpg
644,,https://sun9-46.userapi.com/c858228/v858228464/1354e6/nQanlsQp6LM.jpg
1054,,https://sun9-24.userapi.com/c855532/v855532209/1be7a6/KQI931k_Q-c.jpg
1592,,https://sun9-66.userapi.com/c206616/v206616029/2b283/yO-6KY6ta1g.jpg
1081,,https://sun9-22.userapi.com/c854228/v854228005/1bf495/Mfr3nWN55Q4.jpg
1155,,https://sun9-6.userapi.com/c857436/v857436791/141426/OhPsd6wE8wA.jpg
1016,,https://sun9-66.userapi.com/c206528/v206528561/2a0d9/TttqW07WLQ4.jpg
1614,😒,https://sun9-29.userapi.com/c855436/v855436731/1be44e/roUnwJZs1k8.jpg
1385,,https://sun9-58.userapi.com/c856028/v856028864/166c06/zn9OK1anOpI.jpg
840,,https://sun9-1.userapi.com/c204520/v204520290/2b645/e9n5_fRysuQ.jpg
2190,,https://sun9-15.userapi.com/c854028/v854028483/1b85df/SRs83c5Z7As.jpg
516,,https://sun9-33.userapi.com/c855224/v855224842/1b7335/jBEcyu7UJXU.jpg
2113,,https://sun9-31.userapi.com/c857120/v857120069/a7ee8/gfpyAYQ8ICo.jpg
1065,,https://sun9-51.userapi.com/c200716/v200716113/2ac1b/K4sAjqDGYNA.jpg
580,,https://sun9-41.userapi.com/c854528/v854528130/1c0f94/SV2nxQNug-A.jpg
700,2 места,https://sun9-58.userapi.com/c206524/v206524564/2c54e/4sE5Zr9ThF8.jpg
674,,https://sun9-14.userapi.com/c858036/v858036846/13cfd0/qfN-HEUAACk.jpg
1961,не сегодня,https://sun9-56.userapi.com/c857524/v857524113/133bce/t9tgYAXqDgM.jpg
3472,,https://sun9-66.userapi.com/c858136/v858136024/135d15/xe4GRkAHYxk.jpg
1458,,https://sun1-24.userapi.com/c854128/v854128510/1bb052/KQWES7tdZGg.jpg
971,,https://sun9-15.userapi.com/c858424/v858424356/132880/9FBFjBS0YJQ.jpg
1657,,https://sun9-44.userapi.com/c858228/v858228482/12fb1d/h95nBk1i-ws.jpg
2598,,https://sun9-13.userapi.com/c855136/v855136550/1ae543/OPs4txhXFcM.jpg
928,,https://sun9-35.userapi.com/c205224/v205224686/2c9b5/x4_JFNokjLA.jpg
1291,,https://sun9-32.userapi.com/c857024/v857024345/39c74/7XTRuiqFcW8.jpg
1148,,https://sun9-4.userapi.com/c855732/v855732801/1b82b1/XzIEhEirXhU.jpg
1180,,https://sun9-54.userapi.com/c854016/v854016256/1bdfcf/XD_y_8JwDFs.jpg
997,под охраной,https://sun9-2.userapi.com/c206616/v206616194/2ae22/vjLZi8yJ9xc.jpg
1125,,https://sun9-57.userapi.com/c857120/v857120676/9ef2e/S8B-62LIutg.jpg
2620,,https://sun9-32.userapi.com/c200724/v200724549/2a77d/u8o5--EgUyo.jpg
1287,,https://sun9-42.userapi.com/c204828/v204828034/29fb2/W25KtybhC4c.jpg
1222,,https://sun9-50.userapi.com/c854520/v854520968/1bf9ea/TMSJIGF9HAg.jpg
705,,https://sun9-39.userapi.com/c206616/v206616455/29c32/FjGRraI3-0E.jpg
888,,https://sun9-69.userapi.com/c857216/v857216685/a2bde/w7EMDWtn2eY.jpg
1332,,https://sun9-13.userapi.com/c857320/v857320768/9d3c6/rwJ1jsPx3KA.jpg
563,Надпись на дороге в Смоленской области:),https://sun9-66.userapi.com/c200416/v200416730/29eee/NlbiB9T1Zoo.jpg
287,,https://sun9-4.userapi.com/c858420/v858420672/13fe89/JQyg02SD7JY.jpg
745,,https://sun9-66.userapi.com/c206728/v206728857/24fd0/S_52MPN7rpo.jpg
1961,,https://sun9-16.userapi.com/c856036/v856036284/1b797e/fDMIcrhSyNE.jpg
2323,,https://sun9-57.userapi.com/c858120/v858120703/140779/LzB-xdGU_JQ.jpg
1190,,https://sun9-7.userapi.com/c856132/v856132519/1a70c8/tdGLkEyKRbU.jpg
540,,https://sun9-7.userapi.com/c858236/v858236732/14150c/zoiWHgh8qtI.jpg
689,,https://sun9-67.userapi.com/c854420/v854420586/1b8e0d/z57IKude5G8.jpg
2257,,https://sun9-26.userapi.com/c853528/v853528786/1af61d/HGW1RXec5Bk.jpg
1437,,https://sun9-21.userapi.com/c855420/v855420568/1b51fe/m-zf4wL42Mo.jpg
667,,https://sun9-30.userapi.com/c855420/v855420568/1b51eb/yOVVv7POzsg.jpg
2567,,https://sun9-26.userapi.com/c855420/v855420568/1b51e2/nV9y9n0cSdw.jpg
986,,https://sun9-35.userapi.com/c857736/v857736327/13c219/TJmNmtPNJyc.jpg
951,,https://sun9-60.userapi.com/c855420/v855420568/1b51c8/H-Zv63RPOzc.jpg
826,,https://sun9-41.userapi.com/c206728/v206728918/2599e/7n3j3fwuuuU.jpg
918,,https://sun9-66.userapi.com/c855420/v855420568/1b51be/4_TpjrxACoQ.jpg
3112,,https://sun9-10.userapi.com/c855420/v855420568/1b51ad/-Y_wC1wNEsA.jpg
2870,,https://sun9-1.userapi.com/c855724/v855724574/1b9da2/NzZFDmfJcCw.jpg
2398,,https://sun9-67.userapi.com/c850608/v850608134/70689/wNcJXS6z_Uk.jpg
4366,,https://sun9-64.userapi.com/c857532/v857532585/1359be/7RbyPb4NrQs.jpg
1069,что вчера было?,https://sun9-30.userapi.com/c204820/v204820921/268ec/B2UX9FjmS0o.jpg
